code;languageName;nativeName;isRTL
oj;Оҷибеҷйӣ;ᐊᓂᔑᓈᐯᒧᐎᓐ;false
om;Оромӣ;Afaan Oromoo;false
or;Ориягӣ;ଓଡ଼ିଆ;false
os;Осетинӣ;Ирон æвзаг;false
pa;Панҷобӣ;ਪੰਜਾਬੀ / پنجابی;false
pi;Полӣ;पाऴि;false
pl;Лаҳистонӣ;polski;false
ps;Пушту;‫پښتو;true
pt;Португалӣ;Português;false
qu;Кичва;Runa Simi / Kichwa;false
rm;Ретороманӣ;rumantsch grischun;false
rn;Рундӣ;kiRundi;false
ro;Руминӣ;română / limba moldoveneasca;false
ru;Русӣ;русский язык;false
rw;Руандинӣ;Kinyarwanda;false
ry;Забони русинӣ;русинськый язык;false
sa;Санскритӣ;संस्कृतम्;false
sc;Сардинӣ;sardu;false
sd;Синдҳӣ;सिन्धी / ‫سنڌي، سندھی;false
se;Самии шимолӣ;Davvisámegiella;false
sg;Санго;yângâ tî sängö;false
sh;Забони серб - хорватӣ;Srpskohrvatski / Српскохрватски;false
si;Сингалӣ;සිංහල;false
sk;Словакӣ;slovenčina;false
sl;Словениягӣ;slovenščina;false
sm;Самоанӣ;gagana fa'a Samoa;false
sn;Шона;chiShona;false
so;Сомалӣ;Soomaaliga / af Soomaali;false
sq;Албанӣ;Shqip;false
sr;Сербӣ;српски језик;false
ss;Свазӣ;SiSwati;false
st;Сотои ҷанубӣ;seSotho;false
su;Сунданӣ;Basa Sunda;false
sv;Шведӣ;Svenska;false
sw;Суаҳилӣ;Kiswahili;false
ta;Тамилӣ;தமிழ்;false
te;Телугу;తెలుగు;false
tg;Тоҷикӣ;тоҷикӣ / toğikī / ‫تاجیکی;false
th;Тайӣ;ไทย;false
ti;Тигриниягӣ;ትግርኛ;false
tk;Туркманӣ;Türkmen  / Түркмен;false
tl;Тагалогӣ;Tagalog;false
tn;Тасвонӣ;seTswana;false
to;Тонганӣ;faka Tonga;false
tr;Туркӣ;Türkçe;false
ts;Тсонга;xiTsonga;false
tt;Тоторӣ;татарча / tatarça / ‫تاتارچا;false
tw;Твӣ;Twi;false
ty;Таҳитянӣ;Reo Mā`ohi;false
ug;Уйғурӣ;Uyƣurqə / ‫ئۇيغۇرچ;false
uk;Украинӣ;Українська;false
ur;Урду;‫اردو;true
uz;Узбекӣ;O'zbek / Ўзбек / أۇزبېك;false
ve;Венда;tshiVenḓa;false
vi;Ветнамӣ;Tiếng Việt;false
vo;Волапукӣ;Volapük;false
wa;Валунӣ;Walon;false
wo;Волоф;Wollof;false
xh;Хоса;isiXhosa;false
yi;Йидиш;‫ייִדיש;true
yo;Ёруба;Yorùbá;false
za;Жуангӣ;Saɯ cueŋƅ / Saw cuengh;false
zh;Хитоӣ;中文 / 汉语 / 漢語;false
zu;Зулу;isiZulu;false
