name;fullName;intCode;symbol2;symbol3
Grenada;Grenada;308;GD;GRD
Grenlandiya;Grenlandiya;304;GL;GRL
Gretsiya;Gretsiya;300;GR;GRC
Gruziya;Gruziya;268;GE;GEO
Guam;Guam;316;GU;GUM
Daniya;Daniya;208;DK;DNK
Jersi;Jersi;832;JE;JEY
Jibuti;Jibuti;262;DJ;DJI
Dominikan Respublikasi;Dominikan Respublikasi;214;DO;DOM
Dominika;Dominika;212;DM;DMA
Ekvatorial Gvineya;Ekvatorial Gvineya;226;GQ;GNQ
Ekvador;Ekvador;218;EC;ECU
Eritreya;Eritreya;232;ER;ERI
Estoniya;Estoniya;233;EE;EST
Efiopiya;Efiopiya;231;ET;ETH
Misr;Misr;818;EG;EGY
Yaman;Yaman;887;YE;YEM
Zambiya;Zambiya;894;ZM;ZMB
Sadr;Sadr;732;EH;ESH
Zimbabve;Zimbabve;716;ZW;ZWE
Isroil;Isroil;376;IL;ISR
Hindiston;Hindiston;356;IN;IND
Indoneziya;Indoneziya;360;ID;IDN
Iroq;Iroq;368;IQ;IRQ
Eron;Eron;364;IR;IRN
Irlandiya;Irlandiya;372;IE;IRL
Islandiya;Islandiya;352;IS;ISL
Ispaniya;Ispaniya;724;ES;ESP
Italiya;Italiya;380;IT;ITA
Jordan;Jordan;400;JO;JOR
Kabo-Verde;Kabo-Verde;132;CV;CPV
Qozog'iston;Qozog'iston;398;KZ;KAZ
Kayman orollari;Kayman orollari;136;KY;CYM
Kambodja;Kambodja;116;KH;KHM
Kamerun;Kamerun;120;CM;CMR
Kanada;Kanada;124;CA;CAN
Qatar;Qatar;634;QA;QAT
Keniya;Keniya;404;KE;KEN
Qirg'iziston;Qirg'iziston;417;KG;KGZ
Xitoy (Xalq Respublikasi);Xitoy (Xalq Respublikasi);156;CN;CHN
Kipr;Kipr;196;CY;CYP
Kiribati;Kiribati;296;KI;KIR
KXDR (Shimoliy Koreya);KXDR (Shimoliy Koreya);408;KP;PRK
Kokos orollari;Kokos orollari;166;CC;CCK
Kolumbiya;Kolumbiya;170;CO;COL
Komor;Komor;174;KM;COM
Kongo Respublikasi;Kongo Respublikasi;178;CG;COG
DR Kongo;DR Kongo;180;CD;COD
Koreya Respublikasi;Koreya Respublikasi;410;KR;KOR
Kosta-Rika;Kosta-Rika;188;CR;CRI
Kot-d'Ivuar;Kot-d'Ivuar;384;CI;CIV
Kuba;Kuba;192;CU;CUB
Kuvayt;Kuvayt;414;KW;KWT
Kuk orollari;Kuk orollari;184;CK;COK
Curacao;Curacao;531;CW;CUW
Laos;Laos;418;LA;LAO
Latviya;Latviya;428;LV;LVA
Lesoto;Lesoto;426;LS;LSO
Litva;Litva;440;LT;LTU
Liberiya;Liberiya;430;LR;LBR
Livan;Livan;422;LB;LBN
Liviya;Liviya;434;LY;LBY
Lixtenshteyn;Lixtenshteyn;438;LI;LIE
Lyuksemburg;Lyuksemburg;442;LU;LUX
Mavrikiy;Mavrikiy;480;MU;MUS
Mavritaniya;Mavritaniya;478;MR;MRT
Madagaskar;Madagaskar;450;MG;MDG
Mayotte;Mayotte;175;YT;MYT
Aomin;Aomin;446;MO;MAC
Shimoliy Makedoniya;Shimoliy Makedoniya;807;MK;MKD
Malavi;Malavi;454;MW;MWI
Malayziya;Malayziya;458;MY;MYS
Kichik Tashqi orollari (AQSH);Kichik Tashqi orollari (AQSH);581;UM;UMI
Mali;Mali;466;ML;MLI
Maldiv orollari;Maldiv orollari;462;MV;MDV
Malta;Malta;470;MT;MLT
Shimoliy Mariana orollari;Shimoliy Mariana orollari;580;MP;MNP
Marokash;Marokash;504;MA;MAR
Martinika;Martinika;474;MQ;MTQ
Marshall orollari;Marshall orollari;584;MH;MHL
Meksika;Meksika;484;MX;MEX
Jurnal of Man;Jurnal of Man;833;IM;IMN
Mikroneziya;Mikroneziya;583;FM;FSM
Mozambik;Mozambik;508;MZ;MOZ
Moldova;Moldova;498;MD;MDA
Monako;Monako;492;MC;MCO
Mo'g'uliston;Mo'g'uliston;496;MN;MNG
Montserrat;Montserrat;500;MS;MSR
Myanma;Myanma;104;MM;MMR
Namibiya;Namibiya;516;NA;NAM
Nauru;Nauru;520;NR;NRU
Nepal;Nepal;524;NP;NPL
Niger;Niger;562;NE;NER
Nigeriya;Nigeriya;566;NG;NGA
Niderlandiya;Niderlandiya;528;NL;NLD
Nikaragua;Nikaragua;558;NI;NIC
Germaniya;Germaniya;276;DE;DEU
Niue;Niue;570;NU;NIU
Yangi Zelandiya;Yangi Zelandiya;554;NZ;NZL
yangi Kaledoniya;yangi Kaledoniya;540;NC;NCL
Norvegiya;Norvegiya;578;NO;NOR
SO;SO;574;NF;NFK
Birlashgan Arab Amirliklari;Birlashgan Arab Amirliklari;784;AE;ARE
Ummon;Ummon;512;OM;OMN
Bouvet orol;Bouvet orol;74;BV;BVT
Eshitgan va McDonald orollari;Eshitgan va McDonald orollari;334;HM;HMD
Rojdestvo orol;Rojdestvo orol;162;CX;CXR
Pokiston;Pokiston;586;PK;PAK
Palau;Palau;585;PW;PLW
Falastin Davlat;Falastin Davlat;275;PS;PSE
Panama;Panama;591;PA;PAN
Papua Yangi Gvineya;Papua Yangi Gvineya;598;PG;PNG
Janubiy Afrika;Janubiy Afrika;710;ZA;ZAF
Paragvay;Paragvay;600;PY;PRY
Peru;Peru;604;PE;PER
Janubiy Georgiya va Janubiy Sendvich orollari;Janubiy Georgiya va Janubiy Sendvich orollari;239;GS;SGS
Janubiy Sudan;Janubiy Sudan;728;SS;SSD
Pitkern orollari;Pitkern orollari;612;PN;PCN
Polsha;Polsha;616;PL;POL
Portugaliya;Portugaliya;620;PT;PRT
Puerto-Riko;Puerto-Riko;630;PR;PRI
qayta birlashish;qayta birlashish;638;RE;REU
Rossiya;Rossiya;643;RU;RUS
Ruanda;Ruanda;646;RW;RWA
Ruminiya;Ruminiya;642;RO;ROU
Sent-Kits va Nevis;Sent-Kits va Nevis;659;KN;KNA
Sankt-Per va Miquelon;Sankt-Per va Miquelon;666;PM;SPM
Salvador;Salvador;222;SV;SLV
Samoa;Samoa;882;WS;WSM
San Tome va Prinsipi;San Tome va Prinsipi;678;ST;STP
San Marino;San Marino;674;SM;SMR
Saudiya Arabistoni;Saudiya Arabistoni;682;SA;SAU
Esvatini;Esvatini;748;SZ;SWZ
"Sankt-Helena; yuksalish va Tristan-da-Kunya";"Sankt-Helena; yuksalish va Tristan-da-Kunya";654;SH;SHN
Seyshel orollari;Seyshel orollari;690;SC;SYC
Sankt-Barthelemy;Sankt-Barthelemy;652;BL;BLM
Senegal;Senegal;686;SN;SEN
Saint-Martin;Saint-Martin;663;MF;MAF
VC;VC;670;VC;VCT
Saint Lucia;Saint Lucia;662;LC;LCA
Serbiya;Serbiya;688;RS;SRB
Singapur;Singapur;702;SG;SGP
Sint Taiti;Sint Taiti;534;SX;SXM
Suriya;Suriya;760;SY;SYR
Slovakiya;Slovakiya;703;SK;SVK
Sloveniya;Sloveniya;705;SI;SVN
Solomon orollari;Solomon orollari;90;SB;SLB
Somali;Somali;706;SO;SOM
Sudan;Sudan;729;SD;SDN
Surinam;Surinam;740;SR;SUR
AQSH;AQSH;840;US;USA
Syerra-Leone;Syerra-Leone;694;SL;SLE
Tojikiston;Tojikiston;762;TJ;TJK
Tailand;Tailand;764;TH;THA
Xitoy Respublikasi;Xitoy Respublikasi;158;TW;TWN
Tanzaniya;Tanzaniya;834;TZ;TZA
Turk va Kaykos;Turk va Kaykos;796;TC;TCA
Sharqiy Timor;Sharqiy Timor;626;TL;TLS
Bormoq;Bormoq;768;TG;TGO
Tokelau;Tokelau;772;TK;TKL
Tonga;Tonga;776;TO;TON
Trinidad va Tobago;Trinidad va Tobago;780;TT;TTO
Tuvalu;Tuvalu;798;TV;TUV
Tunis;Tunis;788;TN;TUN
kurka;kurka;792;TR;TUR
Turkmaniston;Turkmaniston;795;TM;TKM
Uganda;Uganda;800;UG;UGA
Vengriya;Vengriya;348;HU;HUN
O'zbekiston;O'zbekiston;860;UZ;UZB
Ukraina;Ukraina;804;UA;UKR
Uollis va Futuna;Uollis va Futuna;876;WF;WLF
Urugvay;Urugvay;858;UY;URY
Farer orollari;Farer orollari;234;FO;FRO
Fiji;Fiji;242;FJ;FJI
Filippin;Filippin;608;PH;PHL
Finlyandiya;Finlyandiya;246;FI;FIN
Falkland;Falkland;238;FK;FLK
Fransuz Janubiy va Antarktik;Fransuz Janubiy va Antarktik;260;TF;ATF
Fransuz Polineziyasi;Fransuz Polineziyasi;258;PF;PYF
Frantsiya;Frantsiya;250;FR;FRA
Xorvatiya;Xorvatiya;191;HR;HRV
CAR;CAR;140;CF;CAF
Chad;Chad;148;TD;TCD
Chex Respublikasi;Chex Respublikasi;203;CZ;CZE
Chili;Chili;152;CL;CHL
Chernogoriya;Chernogoriya;499;ME;MNE
Shveytsariya;Shveytsariya;756;CH;CHE
Shvetsiya;Shvetsiya;752;SE;SWE
Svalbard va Yan Mayen;Svalbard va Yan Mayen;744;SJ;SJM
Shri Lanka;Shri Lanka;144;LK;LKA
Yamayka;Yamayka;388;JM;JAM
Yaponiya;Yaponiya;392;JP;JPN
