name;intCode;code3;curMult
Kolumbiyalik peso.;170;COP;100
Frank komor;174;KMF;1
Kostarican ustuni;188;CRC;100
Ozarbayjon manat;944;AZN;100
Jazoir dinorlari;12;DZD;100
Argentinalik peso.;32;ARS;100
Braziliyalik real;986;BRL;100
Chili tarmog'i bo'limi;990;CLF;10000
Sucre Yagona shahar hisob-kitob tizimi;994;XSU;0
Keyingi kunning dollari;997;USN;100
Valyutasiz;999;XXX;0
Armaniston dramasi;51;AMD;100
Barbados dollarlari;52;BBD;100
Bermuda dollar;60;BMD;100
Bhu ishtirokadigan ngburtrum;64;BTN;100
Bolivian Boliviano;68;BOB;100
Botsvana PULA.;72;BWP;100
Oq dollar;84;BZD;100
Dollarlik Sulaymon orollari;90;SBD;100
Brunens dollarlari;96;BND;100
Myanma kyat;104;MMK;100
Burundian Frank;108;BIF;1
Kambodja Riel.;116;KHR;100
Dirham BAA;784;AED;100
Vetnamlik dong.;704;VND;1
Somali shilmasi;706;SOS;100
Iraqi dinorasi;368;IQD;1000
Gruziya Lari;981;GEL;100
Boliviya MVDOL.;984;BOV;100
Livan funt;422;LBP;100
Lesoty loty.;426;LSL;100
Liberiya dollar;430;LRD;100
Liviya dinorasi;434;LYD;1000
Pataka makar;446;MOP;100
Maalaw Kvaacha;454;MWK;100
Malayziya ringgiti;458;MYR;100
Maldives Rufiya;462;MVR;100
Murish UGIA.;929;MRU;100
Mauritian rupiye;480;MUR;100
Marokash dirhami;504;MAD;100
Omyan rial;512;OMR;1000
Dollar Namibiya;516;NAD;100
Nepal rupi;524;NPR;100
Gollandiya Anmil Gulden;532;ANG;100
Tuman Florin;533;AWG;100
Vanuatskiy Utu.;548;VUV;1
Yangi Tayvan dollarlari;901;TWD;100
Urugvay universitetining printsistal;927;UYW;10000
Kuba konvertatsiya qilinadigan peso;931;CUC;100
Dollar Zimbabve;932;ZWL;100
Pokistonlik rupiy;586;PKR;100
Pantaman Balboo;590;PAB;100
Kina Papua - Yangi Gvineya;598;PGK;100
Paragvayan Guaraniy;600;PYG;1
Peruian yangi tuzi;604;PEN;100
Filippin Peso.;608;PHP;100
Qatar Rial;634;QAR;100
Janubiy Afrika Rand;710;ZAR;100
Janubiy Iyran funt;728;SSP;100
Swaziland Lilantantanghena;748;SZL;100
Saudiya Riyal;682;SAR;100
Seycheles rupiye;690;SCR;100
Sierra leone leone;694;SLL;100
Serbiyalik dinor;941;RSD;100
Mozambik mitti;943;MZN;100
Qirg'izlar.;417;KGS;100
Lao KIP.;418;LAK;100
Tojikiston Somoni;972;TJS;100
Angolan Kvanza;973;AOA;100
Bangladeshskaya taka;50;BDT;100
Tunis dinorasi;788;TND;1000
Uganda shiling;800;UGX;1
Denor Shimoliy Makedoniya;807;MKD;100
Yangi Turkmaniston Manat;934;TMT;100
Ganaan Sedri;936;GHS;100
Venesuela Bolivar;928;VES;100
Sudan funt;938;SDG;100
Indekslangan birliklarda urugvay peso;940;UYI;1
O'zbek so'm;860;UZS;100
Samoon tala;882;WST;100
Yamanlik rial;886;YER;100
